"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
7;-1,17115611606007;0,478252976229864;-1,53030209937108;1,00717927315138;0,692701597648401;0,0718174305578053;0,0153936662589116;0,0738261634101384;0,0282192869150263;0,0267865124391083;"class";"MNAR3"
7;-1,16123367567617;0,486652900553789;-1,521176723346;1,23195205042399;0,692778147482899;0,0746772835007643;0,02179996870672;0,0931832751357984;NA;0,0240965877323421;"spsp";"MNAR3"
8;-1,17696183651356;0,464958771741282;-1,52802574789203;1,01689777100503;0,697983993255588;0,071776269551529;0,0158422940378529;0,0745162017956097;0,0277930137950707;0,026564868823078;"class";"MNAR3"
8;-1,1506308357683;0,478209749795922;-1,57328227231524;1,21193226351031;0,69442462583866;0,0781864305937504;0,0222298366394931;0,0966086438418772;NA;0,0243111329819968;"spsp";"MNAR3"
9;-1,28032881125727;0,491702197790484;-1,48377796949124;0,988301668163841;0,710818991464063;0,0718651940771005;0,016115309089847;0,0731718121135044;0,0292174864504767;0,0257490975510931;"class";"MNAR3"
9;-1,24520702505495;0,505686079123767;-1,52335722788469;1,18721545792757;0,711216893870416;0,0703928108976185;0,0228275149152;0,0900362588981153;NA;0,0250203300492146;"spsp";"MNAR3"
10;-1,11809405857794;0,487181595056317;-1,7047899244431;1,00191808989698;0,711147469742887;0,0714317400423617;0,0159833432302803;0,0739952795242177;0,0288071404565191;0,0257829200083377;"class";"MNAR3"
10;-1,14301672505565;0,496438789791608;-1,61062047156456;1,21887795557625;0,708739623800481;0,0745075096782306;0,0225768699448596;0,0954346548615319;NA;0,0251784353106313;"spsp";"MNAR3"
11;-1,17470280269435;0,500976256805355;-1,63793604607411;1,02336230403267;0,721027678096613;0,0726698753707468;0,0162788606782416;0,0753970688399762;0,0280400674852997;0,0256212289132951;"class";"MNAR3"
11;-1,14426869368874;0,517054291051033;-1,6282841776854;1,23635902243992;0,717935632691226;0,0720339131364024;0,0230089888045742;0,0920390386248642;NA;0,0255710378626709;"spsp";"MNAR3"
12;-1,13308491030502;0,497754651634503;-1,61417672082341;0,982424989739795;0,723590429528363;0,0709040381434403;0,0161601517002187;0,0728270479471956;0,029752508500994;0,0252359783392333;"class";"MNAR3"
12;-1,15202856180038;0,509941586794787;-1,55614144965068;1,19979202218959;0,720000958622012;0,0754804918789341;0,0227459147258625;0,0945004174275597;NA;0,0257212731721531;"spsp";"MNAR3"
13;-1,25391263581597;0,517601476183216;-1,55263034941284;0,98144197873678;0,706553111785029;0,0708940942037086;0,0159130833321812;0,0728904872275208;0,0294088450889925;0,0260594971013526;"class";"MNAR3"
13;-1,20080334596867;0,528064527803615;-1,60997779975454;1,20658009402761;0,704897014822593;0,0758693009168613;0,0224666896079293;0,0942326763849292;NA;0,024629570282276;"spsp";"MNAR3"
14;-1,21013292522408;0,475575234369027;-1,54782216939757;1,01253880411974;0,711348510954963;0,0726441904035452;0,0161259066471927;0,0747701917811137;0,0282965370105033;0,0260139163529711;"class";"MNAR3"
14;-1,22593043106176;0,488680294129625;-1,52587490502553;1,23597125578528;0,706175690574944;0,0731431851352844;0,0225605384227591;0,0905513398235657;NA;0,0248840734591722;"spsp";"MNAR3"
15;-1,16872229120886;0,507977025736678;-1,62116089275104;1,00515465024888;0,707758672398099;0,0720215274719619;0,0160882851816208;0,0741327114080855;0,0284207305525869;0,0260342337720256;"class";"MNAR3"
15;-1,14998825355109;0,513522875661236;-1,59649585866062;1,22877392797681;0,706498303287317;0,0727615530712633;0,0227237360595599;0,0953474118245013;NA;0,0250204582508586;"spsp";"MNAR3"
16;-1,2386005333121;0,494931125077673;-1,39676135341902;1,02246024648216;0,687404334211469;0,0713625397356832;0,0149062978123205;0,0740291893291871;0,027137345561501;0,0262161182593184;"class";"MNAR3"
16;-1,16849993881133;0,503621636680017;-1,52304132378182;1,26888804672059;0,687029160275882;0,0705251942756784;0,0209970804725576;0,0863076397844268;NA;0,0228159985598517;"spsp";"MNAR3"
17;-1,18170459325468;0,479677102041;-1,55701283208986;0,991320701207359;0,725233655255712;0,0711958779088902;0,0160683355801179;0,073635835910656;0,0296202983310099;0,0251977848458279;"class";"MNAR3"
17;-1,22754921952385;0,49545002650092;-1,49063435191397;1,17283043227037;0,725009316502132;0,0728036622306786;0,0227560965713282;0,0916581332318996;NA;0,0258755399363297;"spsp";"MNAR3"
18;-1,1078315034829;0,474512707545398;-1,64971495958472;0,967313587276268;0,736188573728808;0,0707749021344334;0,0164140232501931;0,0724695130095685;0,030515300524763;0,0248880953259205;"class";"MNAR3"
18;-1,06806252389973;0,483832429114843;-1,670715737228;1,19320234893184;0,735997052039627;0,0745130294543981;0,0231997043621088;0,0925308886907416;NA;0,0268105009459438;"spsp";"MNAR3"
19;-1,16939256355644;0,47987200820963;-1,52681798802587;1,02044462534228;0,699916007734525;0,072144033111233;0,015940677903348;0,0755285716009856;0,0278182719761609;0,0265621846359034;"class";"MNAR3"
19;-1,17394819675648;0,490753271883973;-1,52012126724595;1,21908330232714;0,69837381396934;0,0791830828258267;0,0224005439127978;0,0949393545233883;NA;0,0243691350823473;"spsp";"MNAR3"
20;-1,2463660507792;0,484061321486311;-1,51600371632945;0,98789590145584;0,710150810724421;0,0714035722810331;0,0159997394212439;0,0733815129681005;0,0295921369354255;0,0261546814695702;"class";"MNAR3"
20;-1,23642405073363;0,498173323858158;-1,51225498089351;1,18352118049309;0,705823930094518;0,0735235660290437;0,0224911225920669;0,0944437995507938;NA;0,0251527545587669;"spsp";"MNAR3"
21;-1,29061461791038;0,485501708039413;-1,50258360175938;1,02197597482653;0,704703321829795;0,0721827658808392;0,0159978809562164;0,0751408307278572;0,0278152020780539;0,0262743332049931;"class";"MNAR3"
21;-1,24182777116238;0,499787525915557;-1,48750207320879;1,21675261731727;0,705944563057986;0,076274347104541;0,022671740943215;0,0947646802754998;NA;0,0249637065777106;"spsp";"MNAR3"
22;-1,2625857256915;0,47805067144485;-1,43118011838127;1,02991597352806;0,696466629156129;0,0719665853118034;0,0158663843659582;0,0750479724962747;0,0274578455854431;0,0266828623970499;"class";"MNAR3"
22;-1,19841751142093;0,494068948016746;-1,44078198346097;1,23030048624307;0,691896099538267;0,0737490551651563;0,0223082811678733;0,0904925078656178;NA;0,0238409588500643;"spsp";"MNAR3"
23;-1,13344797136987;0,50444347583732;-1,63926730570244;1,04216554243846;0,705752365262719;0,0738048076483034;0,0160319081027607;0,0763650318578184;0,0272304750916564;0,0265082659427833;"class";"MNAR3"
23;-1,14837882367694;0,520944065149641;-1,6162019324297;1,22855571168371;0,702557067144979;0,0753417334253381;0,0226357620640172;0,0977847372767846;NA;0,0250718107461387;"spsp";"MNAR3"
24;-1,09816519533051;0,514951036508616;-1,57893751739236;1,03190874488536;0,710166520191053;0,0732760925659525;0,0159710755542563;0,0759891472567523;0,0275291285273371;0,0259843726347629;"class";"MNAR3"
24;-1,08634450361402;0,521266600574017;-1,5692761955695;1,26163137323176;0,703979518426291;0,0726838417415038;0,0222152315166309;0,0887030218859316;NA;0,0242934519735023;"spsp";"MNAR3"
