"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
151;-1,22732109752835;0,459642510242317;-1,54892562103263;1,16200442653581;0,676064888712848;0,180663658766074;0,040012925407826;0,248873510524551;0,0948652993023942;0,0370340348679294;"ignorable";"MAR"
151;-1,21623757194424;0,464157798851738;-1,56866140887904;1,16280647797524;0,680326202916849;0,0728391475625789;0,0374303776088432;0,0833810563067501;0,103936433913105;0,0432742319321755;"spm";"MAR"
151;-1,42815708223008;0,466853241117246;-1,27193368969375;0,947488704604696;0,676064888712848;NA;NA;NA;NA;NA;"tseng";"MAR"
151;-1,24082050584816;0,463367228501274;-1,50583366767313;0,888346009133223;0,675396075013069;0,205001018751435;0,039741130104977;0,198488854003737;0,100804538712093;0,0812147746625458;"class";"MAR"
151;-1,31387207675247;0,464932344262282;-1,3752930853998;1,16200442653581;0,665953624188205;0,150243907286232;0,0550013491378965;0,204697284795405;NA;0,0635334434888969;"spsp";"MAR"
152;-0,975110158353287;0,493303473389483;-1,94608508939725;1,13346022045195;0,683560264232524;0,179146070094979;0,04197636345011;0,246104816313699;0,0951284934119582;0,0402601740679237;"ignorable";"MAR"
152;-0,958170404342758;0,500442521502905;-1,93035579634658;1,13670418136789;0,6831620840238;0,0765127223665839;0,0385336311085155;0,0875119095663754;0,103504980446689;0,0452678734401428;"spm";"MAR"
152;-1,05546973058556;0,511837214368638;-1,72711152813583;0,896916323505509;0,683560264232524;NA;NA;NA;NA;NA;"tseng";"MAR"
152;-1,02875644127926;0,497745574130854;-1,93388767985358;0,904737093712579;0,682628138773655;0,199195906081719;0,0416202558418846;0,204419763949118;0,101441102494503;0,086128656359581;"class";"MAR"
152;-0,931183994562041;0,491693288581199;-2,02316896795099;1,13346022045195;0,666304678914582;0,166699721958926;0,0578076742065863;0,216914565077849;NA;0,0702585127613551;"spsp";"MAR"
153;-1,41507912844448;0,447383535569263;-1,33345428299974;1,23432667826815;0,728518474365342;0,192354100252467;0,0425500604475171;0,264739931002206;0,0999795249975453;0,0395646016310077;"ignorable";"MAR"
153;-1,39493348007107;0,456729231276621;-1,33178366535712;1,23421809956478;0,735458171016813;0,0789470913948504;0,0400548836372777;0,0898606576110164;0,0961447186229144;0,043188856821436;"spm";"MAR"
153;-1,18617510867803;0,443270798321841;-1,81671694869657;0,965198354940061;0,728518474365342;NA;NA;NA;NA;NA;"tseng";"MAR"
153;-1,47267880249857;0,457705426552;-1,21106989946523;0,984679557181459;0,728768236735427;0,221161478308258;0,042370271350348;0,219460251388182;0,0894568332424156;0,0737027313359114;"class";"MAR"
153;-1,48240092488867;0,44777204462322;-1,18306948587035;1,23432667826815;0,712524201331144;0,149755032148415;0,058221132154853;0,189319803168195;NA;0,0709060856537588;"spsp";"MAR"
154;-1,14841554284131;0,537640643863035;-1,99234643625265;1,20752813775946;0,695647950620257;0,188094940990622;0,0415034025069162;0,259398287975893;0,0979647947600523;0,0400371950132821;"ignorable";"MAR"
154;-1,16603772043713;0,537188551775946;-1,97257142248494;1,20626534893573;0,694324256462163;0,076097426513141;0,0383758575752452;0,0880034481843581;0,101840999772606;0,044811073303076;"spm";"MAR"
154;-1,07348001563843;0,514798145527352;-2,11969455076271;0,924263630386045;0,695647950620257;NA;NA;NA;NA;NA;"tseng";"MAR"
154;-1,19015787004342;0,531412594620708;-1,9358636054836;0,965321133362231;0,693133575502713;0,219838271379294;0,0411443678425192;0,215708909488024;0,0918846396886997;0,0822597138881843;"class";"MAR"
154;-1,50781018760253;0,532997452799658;-1,30756926096005;1,20752813775946;0,682918593706365;0,134730638088222;0,0561244666715651;0,165780201772029;NA;0,066737835710575;"spsp";"MAR"
155;-1,20800914071214;0,472693327879307;-1,47433069598249;1,08504147585612;0,708578174274721;0,172328178662241;0,0418074932653182;0,236346407165251;0,092366994497191;0,0396402983750967;"ignorable";"MAR"
155;-1,19835012951812;0,476753323563739;-1,47496437447677;1,08763687298465;0,705201321245797;0,0750696886614336;0,0390175667630172;0,0873404639669474;0,100267880770032;0,0437702223767421;"spm";"MAR"
155;-1,12868396810249;0,471043299335225;-1,6037006132428;0,831174955957597;0,708578174274721;NA;NA;NA;NA;NA;"tseng";"MAR"
