"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
1;-1,54527766723623;0,552811406210301;-0,993017342960226;1,34175972978098;0,650787187494506;0,204414061295021;0,0404174034905494;0,28379898176913;0,107221440487476;0,0397662415030999;"ignorable";"MAR"
1;-1,57376878593522;0,54939272101646;-0,929599239309279;1,34821046971374;0,650581775483198;0,072337084701579;0,037108380202139;0,0848800278795889;0,10868837890311;0,0461265601849478;"spm";"MAR"
1;-1,68161125519193;0,554668954326538;-0,755174496244801;1,02334952328251;0,650787187494506;NA;NA;NA;NA;NA;"tseng";"MAR"
1;-1,48286549313692;0,541154025373275;-0,967173285786665;1,0957845747802;0,651488358473502;0,234882002643403;0,0402968762918394;0,237934283338448;0,0779478802901146;0,0911658454826727;"class";"MAR"
1;-1,36594385623227;0,55063836576951;-1,35103308353924;1,34175972978098;0,633682478736992;0,155937060746697;0,0544499875237587;0,197787382710604;NA;0,0635065420189222;"spsp";"MAR"
2;-1,42220743401813;0,561446665207582;-1,45161350325246;1,26190709802809;0,802202270370335;0,200742501252422;0,0488597122604809;0,275024462363528;0,106866019707168;0,0463269513559168;"ignorable";"MAR"
2;-1,42075688792502;0,565538176545949;-1,46618667413329;1,26224295280709;0,802693142038177;0,0883507467897967;0,0446205140657938;0,10169067265665;0,0880917929605445;0,0447213596716913;"spm";"MAR"
2;-1,48134101993692;0,578538449990847;-1,09756174009647;0,938541936460776;0,802202270370335;NA;NA;NA;NA;NA;"tseng";"MAR"
2;-1,32849673041742;0,58449698352651;-1,40841137861384;1,03353937718701;0,804960702527991;0,238205832142932;0,0487249013759699;0,233708379589937;0,0890149539019802;0,0716716357270385;"class";"MAR"
2;-1,46937409191437;0,576776268278874;-1,36748043785619;1,26190709802809;0,786021588649405;0,195461286379359;0,0663731704830138;0,238142925024013;NA;0,0964355723688406;"spsp";"MAR"
3;-1,15812426032976;0,5498620646983;-1,46503633171731;1,19433139643772;0,647083136808598;0,183940691125564;0,0385889721634802;0,254621326620407;0,0960036280880186;0,0366688039272452;"ignorable";"MAR"
3;-1,11010251009156;0,556751517458874;-1,51458469407957;1,18026063768805;0,650375853974571;0,0701195797944444;0,0356711521067133;0,0815035803620973;0,108722791337705;0,0442807440172784;"spm";"MAR"
3;-1,38841760869882;0,564501060904406;-1,30454159997264;0,944452807125742;0,647083136808598;NA;NA;NA;NA;NA;"tseng";"MAR"
3;-1,20910418954653;0,557667447101147;-1,4456427876081;0,973980235718437;0,645893444721751;0,206817862893156;0,038375330985734;0,213679457237471;0,0882071226617955;0,0873555099295299;"class";"MAR"
3;-1,08297719437083;0,561047935542218;-1,62984036660358;1,19433139643772;0,636922017996054;0,142867654928751;0,052910350346856;0,192970792036638;NA;0,0616636655655659;"spsp";"MAR"
4;-1,00513040966965;0,457586077153696;-1,58664386080416;1,25452121454742;0,767858700388057;0,198193950711215;0,0473087988272615;0,273409928361404;0,105927194013097;0,0459843118869282;"ignorable";"MAR"
4;-1,03018669908138;0,462354952636585;-1,55549455057807;1,25731262516359;0,766856556331652;0,0845341907672138;0,0432035769321602;0,0994084611686647;0,0922084796530193;0,0457389368880259;"spm";"MAR"
4;-1,09162131409004;0,426830748870678;-1,64132780283203;0,953271147141782;0,767858700388057;NA;NA;NA;NA;NA;"tseng";"MAR"
4;-1,24020457323949;0,473375963938488;-1,62343542850882;0,883858237312349;0,759274144172649;0,20773885039569;0,0461969664106464;0,20623916945074;0,107890663807985;0,0772443216357108;"class";"MAR"
4;-1,00798297529441;0,461636354933455;-1,59131277488108;1,25452121454742;0,736946589870414;0,177979805096469;0,06279228318081;0,210555529691409;NA;0,0843065373490592;"spsp";"MAR"
5;-1,70276150623834;0,547624862132044;-1,11839676167211;1,06444588963068;0,747263416922512;0,173077161465878;0,0444272679636668;0,236102050363022;0,091610084424733;0,0427857122987575;"ignorable";"MAR"
5;-1,68056173896831;0,55133063051608;-1,10899542506946;1,06530517466276;0,751105129797729;0,0832104831701426;0,041618979252804;0,0953932231139256;0,0941421850194232;0,0448110716214768;"spm";"MAR"
5;-1,88754515470426;0,529592589288128;-0,887772157481202;0,880835796622958;0,747263416922512;NA;NA;NA;NA;NA;"tseng";"MAR"
5;-1,79874174449866;0,54960135651944;-1,12505617711601;0,808598509842467;0,743738183856509;0,191902125460004;0,0438302526124606;0,191065452989562;0,118966109226855;0,0762522576053126;"class";"MAR"
5;-1,52426071114557;0,549624576341485;-1,46856122444529;1,06444588963068;0,726619226327547;0,17411086166917;0,0612325719087169;0,220066045166423;NA;0,0816325862729332;"spsp";"MAR"
6;-1,17925766001897;0,485371996541245;-1,45060043061713;1,2931427545467;0,703362274710046;0,199562836916353;0,0402793442902738;0,275012900818613;0,103415785569069;0,0385303205744801;"ignorable";"MAR"
6;-1,18161668671653;0,478631728980931;-1,49692402350211;1,29613455453763;0,701163069921425;0,0767137490738172;0,0375638372008352;0,0861226628048474;0,100847780328661;0,043352279613828;"spm";"MAR"
6;-1,36230719228305;0,473566800801199;-1,46765208237406;1,02792800171495;0,703362274710046;NA;NA;NA;NA;NA;"tseng";"MAR"
6;-1,32190677829357;0,476415180716814;-1,40783415265827;1,07358294742744;0,703647045898244;0,240841846172346;0,0401381663612993;0,23419311376787;0,0786313850872747;0,0776624803318979;"class";"MAR"
6;-1,15357943721365;0,474337345712183;-1,49574561390141;1,2931427545467;0,684568686618978;0,153397287108357;0,0550910890794775;0,194635197558774;NA;0,0684842294502212;"spsp";"MAR"
7;-1,28867853096266;0,471821779216745;-1,53275953914759;1,15295439128138;0,724353822146071;0,183284004652458;0,0443551778253229;0,250441853222413;0,0960721599031004;0,0404446085936218;"ignorable";"MAR"
7;-1,2923687097452;0,475790027385257;-1,51366609722644;1,15215203023778;0,721923686834823;0,0801063933853415;0,0405207873382215;0,0897939349582893;0,0979459619986464;0,043934199194796;"spm";"MAR"
7;-1,78740743308601;0,444787367127174;-1,16399789462779;1,06557494993215;0,724353822146071;NA;NA;NA;NA;NA;"tseng";"MAR"
7;-1,30021311490912;0,474776395381441;-1,51966399234927;0,86330746427621;0,731048562706375;0,205635603019024;0,0443487606889619;0,198610650719551;0,107403003226006;0,0749698830000112;"class";"MAR"
7;-1,40125194180329;0,470817405095408;-1,28607319900485;1,15295439128138;0,705883681495428;0,13526139400616;0,0599631749199318;0,171333918539156;NA;0,0702198865828624;"spsp";"MAR"
8;-1,18958105296533;0,457078713027035;-1,62143222705106;1,24410448307364;0,646767649873402;0,190871168424359;0,0411155689374521;0,264581003772925;0,100628968488115;0,0385415625187817;"ignorable";"MAR"
8;-1,22544222534187;0,45800113058566;-1,5862869274001;1,24340063613449;0,64263451778438;0,0702983111906875;0,0373013313881944;0,0826423420100379;0,110032493410662;0,0454545453155126;"spm";"MAR"
8;-1,08181490774964;0,474549124522328;-1,82749306940775;0,907345027414909;0,646767649873402;NA;NA;NA;NA;NA;"tseng";"MAR"
8;-1,20653056007255;0,46165077914337;-1,62851281941483;0,985599036512103;0,648130780573937;0,217669253223167;0,0409491991021256;0,216591858353513;0,0882328829733086;0,0901644404757012;"class";"MAR"
8;-1,24351073083861;0,468103988635955;-1,51479768833653;1,24410448307364;0,633434797933546;0,137203952646349;0,0554213882729402;0,19017614840434;NA;0,0624907876513908;"spsp";"MAR"
9;-1,34956677102475;0,529673005187292;-1,29224299610403;1,3598117064804;0,74388593316548;0,210881284035081;0,0459698840145045;0,290377539320071;0,110755858969259;0,0447560391492419;"ignorable";"MAR"
9;-1,32818542435322;0,533074696157214;-1,30679871708761;1,35229526917973;0,744872091308355;0,0836645664343086;0,0428501745823787;0,0965313647673117;0,0949299603743954;0,0457389353612715;"spm";"MAR"
9;-1,52436644657336;0,526642033779234;-0,804996298658809;1,00721956161671;0,74388593316548;NA;NA;NA;NA;NA;"tseng";"MAR"
9;-1,35072989652392;0,530512344508033;-1,3273245457813;0,941728297423661;0,742077049164269;0,222658565706428;0,0454315924761261;0,213795268716185;0,1016133069564;0,0806913812456747;"class";"MAR"
9;-1,23110091124962;0,534235322336056;-1,52876690328716;1,3598117064804;0,725844201587079;0,156181570251735;0,0618251484620846;0,191322009481026;NA;0,0807961861763402;"spsp";"MAR"
10;-1,08672646398375;0,460578178139164;-1,89772005487116;1,08187704126927;0,731264912555612;0,175302393071149;0,0462894217949306;0,239935991860383;0,0952703659735848;0,0441816136527815;"ignorable";"MAR"
10;-1,10653711837449;0,47460687947652;-1,89507629119913;1,07401280589385;0,732577046530678;0,0822583038718024;0,042072945321891;0,0952254843263591;0,0965231963877196;0,0459315212812552;"spm";"MAR"
10;-1,02885173079753;0,486026705638511;-1,92255884143744;0,832495480997882;0,731264912555612;NA;NA;NA;NA;NA;"tseng";"MAR"
