"";"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
"32";32;-1,03637864287114;0,474471538760644;-1,79496499254771;2,34218725278709;0,701294479317427;0,240971604983777;0,0300545262572262;0,338103312397606;0,122160867250282;0,0276462013502971;"ignorable";"MAR"
"33";33;-1,26701539090039;0,495756501603654;-1,4654828962517;2,29740752405876;0,719653358504121;0,237083604723306;0,0304432610056497;0,3320741364046;0,119777072335247;0,028366491589223;"ignorable";"MAR"
"34";34;-1,40342889858315;0,524149032043414;-0,95778733986931;2,17885177645305;0,673262972375137;0,22467586798644;0,0299949947220286;0,315099823817245;0,113895361141612;0,0277032011243495;"ignorable";"MAR"
"35";35;-1,43756324959671;0,49657511421412;-1,19360383838602;2,2467562631386;0,699382444211555;0,231578729874588;0,0283492349346309;0,324754050715166;0,117362380897386;0,0273827494563748;"ignorable";"MAR"
"36";36;-1,3527319336766;0,534276001320264;-1,36521374284626;2,33927595533531;0,741206222434547;0,24143926833427;0,0305392108680067;0,338434826473009;0,122479625599987;0,0292526321313586;"ignorable";"MAR"
"37";37;-0,984529879320371;0,490394366597108;-1,51115602927795;2,45132145582621;0,698179981808976;0,251617835767688;0,0306297799494624;0,353307787091759;0,127260200699547;0,0278916928762296;"ignorable";"MAR"
"38";38;-1,42126058018411;0,525055435229703;-1,40996731067093;2,30215688725483;0,70806801236718;0,237271961412009;0,0315101719524433;0,33297406141485;0,120387521975579;0,0294886250165621;"ignorable";"MAR"
"39";39;-0,733745119074155;0,514037871920834;-2,16802321184198;2,3512582879162;0,678083027230858;0,241309999464144;0,029913849398701;0,338876245927427;0,122623904955804;0,0274753333722629;"ignorable";"MAR"
"40";40;-1,14001351701208;0,467120843042827;-1,37389238541827;2,40262571163518;0,749309627364183;0,247677442163124;0,0323193078339051;0,347493759799198;0,125719128379007;0,0305912223446311;"ignorable";"MAR"
"41";41;-0,996164192747604;0,49830180425346;-1,78260714685472;2,37219552348699;0,714056296211967;0,243978961661775;0,0295392865693724;0,342191777863621;0,123357297204688;0,0278660991094048;"ignorable";"MAR"
